idx,reference_path,search_path,search_marked_path,gt_x,gt_y,bbox_x0,bbox_y0,bbox_x1,bbox_y1,rotation_deg
0,references/ref_00000.png,searches/search_00000.png,searches_marked/search_marked_00000.png,486.000,344.000,436,294,536,394,-7.035
1,references/ref_00001.png,searches/search_00001.png,searches_marked/search_marked_00001.png,140.000,160.000,90,110,190,210,4.042
2,references/ref_00002.png,searches/search_00002.png,searches_marked/search_marked_00002.png,421.500,554.000,371,504,472,604,0.000
3,references/ref_00003.png,searches/search_00003.png,searches_marked/search_marked_00003.png,463.500,290.000,413,240,514,340,-5.829
4,references/ref_00004.png,searches/search_00004.png,searches_marked/search_marked_00004.png,389.000,249.000,339,199,439,299,2.914
5,references/ref_00005.png,searches/search_00005.png,searches_marked/search_marked_00005.png,464.500,122.500,414,72,515,173,0.000
6,references/ref_00006.png,searches/search_00006.png,searches_marked/search_marked_00006.png,271.500,652.000,221,602,322,702,0.000
7,references/ref_00007.png,searches/search_00007.png,searches_marked/search_marked_00007.png,345.000,592.500,295,542,395,643,3.287
8,references/ref_00008.png,searches/search_00008.png,searches_marked/search_marked_00008.png,376.500,439.500,326,389,427,490,0.000
9,references/ref_00009.png,searches/search_00009.png,searches_marked/search_marked_00009.png,446.500,157.500,396,107,497,208,0.000
10,references/ref_00010.png,searches/search_00010.png,searches_marked/search_marked_00010.png,270.500,575.500,220,525,321,626,2.554
11,references/ref_00011.png,searches/search_00011.png,searches_marked/search_marked_00011.png,603.500,177.500,553,127,654,228,0.000
12,references/ref_00012.png,searches/search_00012.png,searches_marked/search_marked_00012.png,186.000,593.000,136,543,236,643,0.000
13,references/ref_00013.png,searches/search_00013.png,searches_marked/search_marked_00013.png,296.500,522.500,246,472,347,573,-3.563
14,references/ref_00014.png,searches/search_00014.png,searches_marked/search_marked_00014.png,363.000,621.500,313,571,413,672,0.000
15,references/ref_00015.png,searches/search_00015.png,searches_marked/search_marked_00015.png,554.000,220.500,504,170,604,271,5.635
16,references/ref_00016.png,searches/search_00016.png,searches_marked/search_marked_00016.png,497.500,381.000,447,331,548,431,0.000
17,references/ref_00017.png,searches/search_00017.png,searches_marked/search_marked_00017.png,426.000,137.500,376,87,476,188,2.043
18,references/ref_00018.png,searches/search_00018.png,searches_marked/search_marked_00018.png,446.500,509.500,396,459,497,560,-7.116
